n,fecha,encuestador,francined_cano,alex_duran,alejandro_eder,michel_maya,roberto_ortiz,jorge_ospina,gustavo_prado,danis_renteria,fernando_toloza,blanco,ninguno,ns_nr,m_error,fuente
1,2019-08-06,Datexco,0.5,0,4,7.2,23.2,25.2,0.2,0.3,0.4,NA,NA,NA,2.14,https://www.wradio.com.co/noticias/actualidad/estos-son-los-resultados-de-la-primera-encuesta-datexco-sobre-elecciones-regionales/20190806/nota/3936620.aspx
2,2019-08-08,Guarumo,NA,1.6,3.5,4.4,26,28.6,NA,NA,NA,15.5,NA,18.3,2.5,https://www.eltiempo.com/bogota/como-van-los-candidatos-a-alcaldias-segun-encuesta-de-guarumo-agosto-2019-398460
3,2019-08-14,CNC,NA,2,11,2,18,38,NA,2,NA,6,8,11,4,https://canal1.com.co/noticias/nacional/asi-va-la-intencion-de-voto-a-las-alcaldias-de-cali-y-valledupar-encuesta-cmi-cnc/
4,2019-08-22,"Los Mosqueteros",1.5,1,12,4,43,33.5,0.5,1.5,0.1,2.4,NA,0.5,2.5,https://www.wradio.com.co/noticias/actualidad/como-votarian-hoy-las-principales-ciudades-del-pais-en-las-elecciones-regionales/20190822/nota/3943571.aspx
5,2019-09-06,Invamer,0.9,0.5,8.9,3.7,33.2,41.9,0,4.5,1.3,5,NA,NA,6.7, https://www.wradio.com.co/noticias/actualidad/como-votarian-hoy-las-principales-ciudades-del-pais-en-las-elecciones-regionales/20190822/nota/3943571.aspx
6,2019-09-12,Datexco,1.5,0.6,7.1,5.2,22.6,37.4,1.1,2.5,0,4.5,NA,17.4,3.7,https://www.wradio.com.co/noticias/regionales/jorge-ivan-ospina-lidera-intencion-de-voto-para-la-alcaldia-de-cali/20190916/nota/3953998.aspx
7,2019-09-24,"Los Mosqueteros",0.2,0.9,5.5,0.7,32.5,33.6,0,2.5,0.2,21.4,NA,2.5,2.9,https://www.wradio.com.co/noticias/actualidad/encuesta-de-los-mosqueteros-jorge-ospina-lidera-la-intencion-de-voto-a-alcaldia-de-cali/20190924/nota/3957178.aspx
8,2019-09-29,Guarumo,0.2,4.3,7.1,0.8,24.8,34.9,0.3,3.3,0.2,17.9,NA,6.2,4.7,https://www.eltiempo.com/elecciones-colombia-2019/cali/encuesta-a-la-alcaldia-de-cali-ospina-saca-ventaja-a-ortiz-y-eder-417558
9,2019-10-07,"Analizar & Lombana",0.1,0.6,8.1,1.1,32.1,34.3,0.1,2.6,0.3,9.5,NA,11.2,2.8,https://www.enteratecali.net/2019/10/encuesta-empate-tecnico-entre-ospina-y-ortiz-para-la-alcaldia-de-cali/
10,2019-10-06,"Inversiones Siglo XXI SAS",0.71,0,6.86,0.57,25.57,27.14,0,3,0.29,17.86,NA,18,3.7,https://occidente.co/cali/empate-por-la-alcaldia-de-cali-a-18-dias-de-las-elecciones/
11,2019-10-08,CNC,0,NA,15,3,27,33,0,0,0,NA,NA,NA,4.1,https://canal1.com.co/noticias/nacional/asi-va-la-intencion-de-voto-a-la-alcaldia-de-cali-encuesta-cnc-cmi/
12,2019-10-09,Invamer,1,NA,15.3,4.7,31.7,36.5,1.4,3.7,1,4.7,NA,13.5,6.8,https://www.bluradio.com/politica/cambian-las-cifras-esta-la-intencion-de-voto-para-la-alcaldia-de-cali-segun-invamer-pcfo-229358-ie4370686
13,2019-10-10,Datexco,0,0.3,10.3,2.1,28.2,38.5,0,4.8,1.1,14.7,NA,29.8,3.8,https://www.wradio.com.co/noticias/regionales/jorge-ivan-ospina-sigue-liderando-la-encuesta-de-intencion-de-voto-en-cali/20191015/nota/3965865.aspx
14,2019-10-20,Guarumo,0.8,NA,13.6,4,29.7,38.5,NA,4.3,0.5,8.6,NA,0,4.1,https://www.eltiempo.com/bogota/ultima-encuesta-de-la-alcaldia-de-bogota-y-las-principales-ciudades-2019-425996
15,2019-10-20,"Inversiones Siglo XXI SAS",NA,NA,8.3,1.8,24.2,26.2,NA,2.2,0.3,23.7,NA,13,3.6,https://occidente.co/cali/sigue-empate-entre-ospina-y-ortiz-y-crece-el-voto-en-blanco/
16,2019-10-20,YanHaas,0,NA,8.4,1.8,23.9,26.3,NA,3.7,1.5,23.7,NA,10.6,4.1,https://www.elpais.com.co/elecciones-2019/alcaldia-de-cali-se-definiria-en-voto-finish-segun-ultima-encuesta-de-yanhaas.html
17,2019-10-23,CNC,0.5,NA,13,3,23,37,4,0.5,,0.5,NA,NA,3.7,https://canal1.com.co/noticias/asi-va-la-intencion-de-voto-a-la-alcaldia-de-cali-encuesta-cmi-cnc/
18,2019-10-23,Invamer,0.4,NA,16.4,1.9,34.1,34.9,0,4.5,2.3,5.3,NA,11.3,5.9,https://www.bluradio.com/politica/empate-tecnico-entre-galan-y-claudia-lopez-para-alcaldia-de-bogota-encuesta-invamer-230777-ie435
19,2019-10-24,"Los Mosqueteros",0.4,NA,7.0,1.9,37.4,37.9,0.8,4.0,0.2,10.1,NA,0.3,2.8,https://www.wradio.com.co/noticias/regionales/habria-empate-tecnico-en-la-intencion-de-voto-a-la-alcaldia-de-cali/20191025/nota/3971080.aspx
